Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
0,-1.445025325,0.575326681,9.491132736,-0.194464579,0.058625609,-0.240331844
0.002,-1.442745924,0.586033523,9.493871689,-0.198862821,0.061400682,-0.246911734
0.004,-1.434768438,0.615118265,9.494647026,-0.202545464,0.064751714,-0.253386915
0.006,-1.414532661,0.640132964,9.496170044,-0.206577167,0.068940505,-0.260438025
0.008,-1.396863461,0.658367217,9.488183022,-0.210748509,0.074124135,-0.26771605
0.01,-1.360768437,0.657514811,9.473320007,-0.214640588,0.079395026,-0.274156332
0.012,-1.34931457,0.658721507,9.474431038,-0.218759567,0.084369212,-0.280561686
0.014,-1.327757239,0.666555345,9.484323502,-0.222005874,0.090198614,-0.286652863
0.016,-1.307808757,0.657754302,9.496552467,-0.224606425,0.097616263,-0.292272836
0.018,-1.283186793,0.660531521,9.51436615,-0.226910248,0.105679683,-0.298049867
0.02,-1.255414009,0.648244441,9.533337593,-0.228166893,0.113376588,-0.304490149
0.022,-1.245932937,0.651117504,9.541180611,-0.228376329,0.120933861,-0.312483758
0.024,-1.238951564,0.646013081,9.541104317,-0.227817833,0.128752932,-0.320791513
0.026,-1.223312616,0.617148578,9.553908348,-0.226962611,0.137601763,-0.328278989
0.028,-1.20913887,0.593225718,9.571749687,-0.225985229,0.147846848,-0.336045682
0.03,-1.194122434,0.53862834,9.582304001,-0.224013016,0.158318818,-0.344266206
0.032,-1.182208896,0.520240903,9.592627525,-0.221307755,0.168581352,-0.352975398
0.034,-1.152798533,0.512253821,9.608658791,-0.219579876,0.178756625,-0.361579865
0.036,-1.142541766,0.515806794,9.618724823,-0.21823597,0.188896984,-0.369817823
0.038,-1.131451726,0.547142148,9.619308472,-0.216438279,0.199962378,-0.378212839
0.04,-1.130551577,0.586052656,9.620630264,-0.215391085,0.212057501,-0.386363536
0.042,-1.132821321,0.632078767,9.626481056,-0.214640588,0.224554062,-0.39536944
0.044,-1.135043144,0.743801892,9.613743782,-0.214029729,0.236579374,-0.405038565
0.046,-1.142541766,0.822542369,9.600002289,-0.214082092,0.246527761,-0.414323717
0.048,-1.143365383,0.868999422,9.595395088,-0.213488668,0.255935073,-0.42348668
0.05,-1.128387213,0.953524351,9.587303162,-0.212912709,0.266075432,-0.432894021
0.052,-1.13611567,1.080637336,9.570016861,-0.213314146,0.275901645,-0.442388594
0.054,-1.133855581,1.118877411,9.565420151,-0.213802829,0.285570771,-0.451952994
0.056,-1.120515108,1.189879894,9.550767899,-0.214623138,0.294245064,-0.462459892
0.058,-1.131413579,1.247034311,9.550116539,-0.216228843,0.301557988,-0.472739875
0.06,-1.126481414,1.310662627,9.567000389,-0.217817083,0.308644027,-0.481972665
0.062,-1.105690241,1.337822556,9.57026577,-0.21879448,0.31562534,-0.491414905
0.064,-1.103133202,1.348280311,9.569327354,-0.219492599,0.322257578,-0.50063026
0.066,-1.102654457,1.350109458,9.572286606,-0.220417634,0.329064369,-0.509112537
0.068,-1.099197149,1.363813877,9.578329086,-0.221115768,0.334981054,-0.518240631
0.07,-1.093451023,1.363296747,9.580809593,-0.222023338,0.338663697,-0.527647913
0.072,-1.09291482,1.356487632,9.574508667,-0.223978102,0.342049629,-0.536200047
0.074,-1.102606416,1.340705037,9.579699516,-0.22539182,0.346901655,-0.544106364
0.076,-1.105795503,1.34374094,9.58646965,-0.226613551,0.352347076,-0.552065074
0.078,-1.103631258,1.341011524,9.589974403,-0.228044719,0.357094377,-0.559709609
0.08,-1.110210419,1.334863186,9.596716881,-0.22800982,0.361859113,-0.566935301
0.082,-1.131087899,1.351641774,9.602865219,-0.227032423,0.366955459,-0.573986411
0.084,-1.143260002,1.383714437,9.612968445,-0.226334304,0.371563137,-0.58095032
0.086,-1.153507233,1.402341485,9.611618042,-0.226037592,0.376903862,-0.588210881
0.088,-1.156552553,1.438197017,9.613026619,-0.225601256,0.383187026,-0.594319522
0.09,-1.176711798,1.488982797,9.619394302,-0.224798411,0.38889426,-0.599328637
0.092,-1.184220076,1.544365525,9.628214836,-0.223838478,0.394374609,-0.604843855
0.094,-1.195645094,1.593188047,9.635532379,-0.223140344,0.400395989,-0.610865235
0.096,-1.205499768,1.650122046,9.639410019,-0.223157793,0.406958431,-0.616485179
0.098,-1.208410978,1.698025227,9.646162033,-0.223803565,0.412456214,-0.621913195
0.1,-1.214808345,1.760810733,9.661619186,-0.224065363,0.416592628,-0.627917111
0.102,-1.240857244,1.860438347,9.694611549,-0.223855928,0.420170575,-0.633833766
0.104,-1.239238739,1.930301189,9.714378357,-0.224396974,0.423521608,-0.6390872
0.106,-1.235005856,1.954511404,9.720487595,-0.225566357,0.427099526,-0.644061387
0.108,-1.227440238,2.029066801,9.744353294,-0.226369202,0.430450559,-0.649245024
0.11,-1.209387898,2.073541403,9.760519028,-0.226055041,0.433068544,-0.654830098
0.112,-1.202253222,2.092417479,9.768390656,-0.225618705,0.435407281,-0.660572231
0.114,-1.170745492,2.126798153,9.781568527,-0.22607249,0.437938005,-0.665755868
0.116,-1.131403923,2.156112909,9.79591465,-0.226247028,0.440224409,-0.671009302
0.118,-1.091238737,2.166426897,9.813689232,-0.225374371,0.442737669,-0.676629245
0.12,-1.054435134,2.177813768,9.820010185,-0.223751202,0.445338219,-0.682388842
0.122,-1.005354047,2.192590714,9.826196671,-0.220574707,0.448601961,-0.689143241
0.124,-0.965974212,2.185762405,9.838722229,-0.216438279,0.453087479,-0.69631654
0.126,-0.921863377,2.189976215,9.843367577,-0.212860361,0.457119197,-0.703664362
0.128,-0.884370267,2.228158951,9.855079651,-0.209195167,0.461918831,-0.711378753
0.13,-0.843678355,2.269693613,9.882834435,-0.205180913,0.46797514,-0.71862185
0.132,-0.809757352,2.299793482,9.908231735,-0.201323733,0.473595083,-0.725690424
0.134,-0.788879871,2.333781719,9.916812897,-0.196297184,0.478726357,-0.733596802
0.136,-0.765962601,2.346767902,9.923716545,-0.191096097,0.483665645,-0.742201269
0.138,-0.735900998,2.358757973,9.937804222,-0.187396005,0.488186032,-0.750735939
0.14,-0.731045544,2.373851061,9.944643021,-0.183050126,0.492235214,-0.758956432
0.142,-0.726075172,2.385429382,9.963010788,-0.178442463,0.495795667,-0.766723156
0.144,-0.723001063,2.383791685,9.981273651,-0.174672544,0.49881509,-0.774297893
0.146,-0.729733527,2.392276764,10.00104046,-0.170605928,0.502253413,-0.78211695
0.148,-0.737950444,2.406239748,10.02921486,-0.166434601,0.504906297,-0.791297376
0.15,-0.747441053,2.443359375,10.05112648,-0.162839219,0.506302536,-0.801036298
0.152,-0.768423855,2.483495951,10.0720911,-0.158842415,0.508449316,-0.810670555
0.154,-0.774236918,2.535162687,10.08891678,-0.153746054,0.510910213,-0.819973111
0.156,-0.775204241,2.597756863,10.11366272,-0.147567585,0.513179183,-0.829432845
0.158,-0.80174154,2.669343233,10.13858223,-0.141266942,0.515360832,-0.839590609
0.16,-0.805897892,2.746771812,10.1675806,-0.13459979,0.517193437,-0.849416852
0.162,-0.813980699,2.805506229,10.18268394,-0.127461389,0.518572211,-0.859085977
0.164,-0.812228143,2.867535353,10.19652176,-0.119834304,0.519444883,-0.869662643
0.166,-0.806951284,2.927467108,10.20698929,-0.111980327,0.521068037,-0.880274236
0.168,-0.805591404,2.976050377,10.19752693,-0.103742369,0.522673726,-0.890589178
0.17,-0.781199276,3.004713535,10.18704128,-0.094701566,0.523947835,-0.901741803
0.172,-0.743571997,3.049829721,10.17991638,-0.085346602,0.526059687,-0.912894487
0.174,-0.729417503,3.07076478,10.17644882,-0.076480329,0.528799832,-0.923436225
0.176,-0.691378415,3.103421688,10.17788601,-0.068783425,0.530876815,-0.933733702
0.178,-0.656499684,3.128608704,10.19116879,-0.060894538,0.532971203,-0.943908989
0.18,-0.64370507,3.140579939,10.19611073,-0.052639131,0.535414636,-0.953735173
0.182,-0.609362602,3.153632879,10.19671345,-0.044558257,0.537351966,-0.964050055
0.184,-0.582595468,3.168879032,10.20152187,-0.036529742,0.539394021,-0.974574387
0.186,-0.565472126,3.203116179,10.21461201,-0.029146999,0.541488409,-0.98452276
0.188,-0.542344093,3.223399878,10.22299194,-0.022671826,0.543617725,-0.994575858
0.19,-0.504008174,3.231980801,10.25108147,-0.016563175,0.546043694,-1.004663825
0.192,-0.492774606,3.240370035,10.2628603,-0.010297443,0.548940957,-1.014455199
0.194,-0.468190908,3.242457867,10.27526283,-0.003647738,0.551384389,-1.023810148
0.196,-0.447303921,3.244478464,10.29034615,0.002216568,0.553321719,-1.032658935
0.198,-0.414101124,3.26354599,10.31154919,0.006806784,0.555992067,-1.041001678
0.2,-0.390992284,3.271264791,10.3275423,0.011205014,0.558662415,-1.049134851
0.202,-0.372528195,3.290811062,10.35915565,0.015830137,0.560076177,-1.057494998
0.204,-0.373428434,3.296269894,10.37244797,0.020245818,0.560634673,-1.065628171
0.206,-0.355040968,3.29731369,10.40180111,0.024556782,0.561193168,-1.07304585
0.208,-0.320085615,3.314599752,10.42608833,0.028221974,0.562048376,-1.078910232
0.21,-0.29013896,3.330612421,10.44415951,0.031276301,0.56239742,-1.084128737
0.212,-0.267336547,3.343512297,10.46709538,0.033475414,0.562222898,-1.091930389
0.214,-0.247052893,3.350809813,10.4984684,0.034051374,0.562153101,-1.101739049
0.216,-0.223857865,3.361880541,10.52801323,0.033649947,0.562432349,-1.109523296
0.218,-0.193987787,3.383495331,10.56978703,0.033492867,0.560966253,-1.117115378
0.22,-0.164721072,3.409707069,10.60915852,0.033108898,0.557545424,-1.125562787
0.222,-0.136105582,3.436771154,10.63301373,0.032323498,0.553618431,-1.133731008
0.224,-0.109702326,3.453329563,10.64104843,0.030735249,0.548539519,-1.1424402
0.226,-0.092406608,3.472550154,10.65853596,0.027890362,0.543006837,-1.151027203
0.228,-0.075053439,3.475988388,10.68360806,0.024836035,0.537596285,-1.159875989
0.23,-0.053429004,3.466449738,10.70794201,0.021694442,0.532552302,-1.167904496
0.232,-0.017468097,3.466842175,10.74256229,0.016947147,0.525134683,-1.176229715
0.234,0.022036232,3.473507881,10.77824593,0.011850785,0.51485467,-1.186247945
0.236,0.077687055,3.488687038,10.81588268,0.008517207,0.503736913,-1.196004272
0.238,0.12526463,3.499700546,10.84816647,0.006527531,0.494155079,-1.203439474
0.24,0.14753072,3.50363636,10.87337208,0.004153884,0.484573215,-1.209949493
0.242,0.177601889,3.494212866,10.88150311,0.00127409,0.470575661,-1.218588829
