Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
0.213481562,0.037192967,-2.517969131,0.003752458
0.223481562,0.179856181,-2.143194437,-0.064367741
0.233484687,0.336359859,-1.824863911,-0.175091431
0.243481562,0.466247261,-1.697105765,-0.250681639
0.253481562,0.561001182,-1.522520542,-0.38695696
0.26348,0.640850008,-1.311719656,-0.533878744
0.273483125,0.685792208,-1.134271979,-0.638930142
0.283483125,0.728762209,-0.805504382,-0.778626263
0.293481562,0.732497215,-0.501468003,-0.908950031
0.303481562,0.709528685,-0.356221706,-1.017230272
0.313481562,0.664167583,-0.329622895,-1.097393274
0.323481562,0.56194365,-0.346011519,-1.10706234
0.333481562,0.400361061,-0.370393783,-1.000859022
0.343483125,0.211516455,-0.4098382,-0.764035344
0.353481562,0.055379298,-0.464763731,-0.528572977
0.363481562,-0.056740653,-0.484433591,-0.345836997
0.373481562,-0.106849059,-0.360480309,-0.195738673
0.383481562,-0.067003191,-0.167010561,-0.078243107
0.393481562,0.058835048,0.034924038,-0.013124876
0.403481562,0.208758831,0.176749498,-0.038885936
0.413483125,0.335749,0.215984493,-0.147899196
0.423483125,0.415196389,0.153047919,-0.304594874
0.433483125,0.443662703,0.080546945,-0.486650139
0.443481562,0.408319771,0.055466563,-0.632664382
0.453481562,0.323985457,0.11433652,-0.708184779
0.46352375,0.211533904,0.180711389,-0.700767159
0.473481562,0.106744334,0.310982764,-0.595296919
0.483483125,0.046321038,0.398650646,-0.441044688
0.493483125,-0.006265732,0.408494323,-0.228830114
0.503483125,-0.047979102,0.292447358,0.018308504
0.513481562,-0.118106432,0.210381985,0.195773587
0.523481562,-0.20968385,0.219492599,0.279915899
0.533481562,-0.294332325,0.322362304,0.305519879
0.5434925,-0.363203019,0.496650904,0.298067331
0.553481562,-0.399470955,0.664010525,0.264853716
0.563483125,-0.382052571,0.768363774,0.264207929
0.573483125,-0.32131511,0.816691935,0.329012007
0.583481562,-0.259373367,0.847165346,0.428635418
0.593489375,-0.200957209,0.863519073,0.548382461
0.603481562,-0.151634201,0.832644224,0.680957675
0.613481562,-0.13721779,0.7981565,0.817756593
0.623481562,-0.12299335,0.703193128,0.97347486
0.633483125,-0.054576445,0.576796412,1.198849201
0.643484687,0.053721234,0.313600749,1.509587646
0.653481562,0.152314886,0.294245064,1.744020224
0.663481562,0.290318072,0.240227118,1.878689885
0.673481562,0.40324086,0.297578633,1.920717359
0.683481562,0.469877541,0.375315607,1.89598608
