Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
0.213483125,-0.571769834,-1.687506437,0.179419845
0.223483125,-0.407813638,-1.710911393,0.406190485
0.233481562,-0.169331849,-1.487352133,0.571211338
0.243487812,0.087231554,-1.021035075,0.631896436
0.253481562,0.307614267,-0.754872382,0.59356904
0.263481562,0.496057481,-0.61645031,0.483909994
0.273483125,0.584789991,-0.563252628,0.367688507
0.283483125,0.635230005,-0.5956285,0.2147104
0.293487812,0.610202014,-0.737837911,0.079970986
0.303481562,0.531382918,-0.941814542,-0.023998277
0.313481562,0.465252429,-1.137308955,-0.07663741
0.323481562,0.466666132,-1.302469373,-0.090093896
0.333481562,0.52759558,-1.38888061,-0.107948616
0.34348625,0.626730263,-1.482849121,-0.154583812
0.353483125,0.695845306,-1.479026914,-0.241396487
0.363483125,0.729791999,-1.182076573,-0.332083791
0.373481562,0.690364957,-0.625019848,-0.425807983
0.383481562,0.475986183,-0.329238921,-0.539847791
0.39348625,0.221429914,-0.179105684,-0.603604674
0.403483125,-0.006736971,0.04235914,-0.696421266
0.413481562,-0.119223438,0.2536138,-0.667832792
0.423483125,-0.112451561,0.416540265,-0.513196588
0.433483125,-0.052063171,0.404305518,-0.348262995
0.443487812,-0.000820305,0.2512227,-0.28342402
0.453481562,0.042603485,0.057491146,-0.328959644
0.463481562,0.110828407,-0.124843404,-0.44031167
0.473481562,0.203802094,-0.205355436,-0.537055254
0.483481562,0.306026042,-0.170082331,-0.561891317
0.493489375,0.406906068,-0.044924773,-0.482391536
0.503483125,0.452075183,0.136886179,-0.357251436
0.513483125,0.404549867,0.221325204,-0.256615758
0.523481562,0.26441738,0.030421089,-0.209230065
0.533481562,0.045535639,-0.195878297,-0.266389608
0.543481562,-0.1147554,-0.41289255,-0.395142555
0.553481562,-0.172263995,-0.663940728,-0.441899925
0.563489375,-0.157568321,-0.684902132,-0.496947587
0.573483125,-0.064385198,-0.651479065,-0.527106881
0.583481562,0.021223204,-0.594284594,-0.513772547
0.593481562,0.089011788,-0.519008577,-0.46261698
0.603481562,0.111299649,-0.473525286,-0.347809225
0.613481562,0.050230574,-0.483683079,-0.238621414
0.623481562,-0.031031953,-0.414463341,-0.161844388
0.633483125,-0.124023095,-0.354773074,-0.13540265
0.643483125,-0.181095362,-0.234223187,-0.140882984
0.653489375,-0.208915904,-0.07311184,-0.14892894
0.663481562,-0.249843881,-0.046076693,-0.127025068
0.673481562,-0.325538814,-0.20422098,-0.088924527
0.683481562,-0.37433821,-0.438321978,-0.044139378
0.693481562,-0.355366498,-0.611441195,0.011693706
0.70348625,-0.252723664,-0.717051089,0.093863808
0.713483125,-0.105330624,-0.78290236,0.218131244
0.723481562,0.046181411,-0.782029688,0.469598293
0.733481562,0.154356912,-0.453785598,0.66172415
0.743481562,0.2027549,-0.260368228,0.697189212
0.753484687,0.181723684,-0.175894275,0.626276493
0.763481562,0.103637651,-0.174515471,0.547492325
0.773483125,0.013945181,-0.075694926,0.591841161
0.783483125,0.001099557,0.227398947,0.962199986
0.793483125,0.05487315,0.824790239,1.611811519
0.803481562,0.153990403,1.308595538,2.08420229
0.813481562,0.14859733,1.455918789,2.230321407
0.823481562,0.007243116,1.102402329,1.788840294
0.833481562,-0.109275065,0.443069279,1.046708822
0.843481562,-0.085695669,-0.194900915,0.417831808
0.853487812,0.022165682,-0.678688705,0.023596851
0.863483125,0.157673046,-1.002866149,-0.286042005
0.873481562,0.291417629,-1.154378176,-0.566307008
0.883481562,0.407935798,-1.21104908,-0.785188735
0.893481562,0.487749726,-1.217454433,-0.862210095
0.903489375,0.536950529,-1.036027431,-0.789761484
0.913481562,0.663818538,-0.238569051,-0.665284574
0.923483125,0.608421803,0.303442955,-0.551157534
0.933483125,0.445739627,0.622297168,-0.473787069
0.943481562,0.173764974,0.689823925,-0.409768403
0.95348625,-0.07326892,0.528625309,-0.328296423
0.963481562,-0.2603333,0.267750949,-0.292621911
0.973481562,-0.335731536,-0.064664446,-0.313880026
0.983481562,-0.287979335,-0.435337484,-0.343463331
0.993483125,-0.147934109,-0.723945141,-0.353708416
1.003489375,0.05708972,-0.840428412,-0.295170069
1.013481562,0.241920084,-0.786201,-0.163135931
1.023481562,0.336185306,-0.650850713,0.017889624
1.033481562,0.291801602,-0.437955469,0.229545698
1.043481562,0.135053575,-0.263998508,0.448427439
1.053481562,-0.065554567,-0.102066852,0.632926226
1.063483125,-0.245550364,0.104475409,0.729896665
1.073483125,-0.382645994,0.252776027,0.72806412
1.083481562,-0.489198327,0.280160248,0.65990901
1.093481562,-0.549028218,0.129747778,0.567232013
1.103481562,-0.509793222,-0.107599549,0.618527234
1.113481562,-0.41573742,-0.318505138,0.733020842
1.123481562,-0.240262017,-0.567528725,0.937957406
1.133483125,-0.013997541,-0.65558058,1.233005285
1.143481562,0.173695162,-0.606205225,1.478293896
1.153481562,0.281085283,-0.483822733,1.670873523
1.163481562,0.269583553,-0.344545454,1.816905141
1.173481562,0.152768672,-0.226700813,1.889999628
1.183481562,-0.041852996,-0.160814643,1.891989231
1.193481562,-0.264626831,-0.133203521,1.876106739
1.203483125,-0.448619425,-0.123831108,1.880627155
1.213483125,-0.566219687,-0.075276047,1.889074564
1.223483125,-0.637080073,0.002111848,1.875007153
1.233481562,-0.665581286,0.090722211,1.859910131
1.243481562,-0.680416584,0.202336013,1.845441341
1.253481562,-0.713665128,0.272637874,1.855337381
1.263481562,-0.768485904,0.259530455,1.912008166
1.273483125,-0.771679878,0.23699826,1.979988813
1.283483125,-0.710820258,0.237539306,1.99007678
1.293483125,-0.647098243,0.289986461,1.913439393
1.303481562,-0.678147674,0.420571983,1.768419981
1.313481562,-0.852785349,0.616205931,1.590658188
1.323481562,-1.135930061,0.832330048,1.453562498
1.333481562,-1.437296033,0.958709359,1.413594484
1.343481562,-1.625529885,0.907640994,1.49195981
1.353483125,-1.615372062,0.704711616,1.586521745
1.363483125,-1.390102386,0.492933333,1.656073093
1.373481562,-1.139106631,0.330792248,1.645356774
1.383481562,-0.930626988,0.204098806,1.509186149
1.393481562,-0.812433302,0.170501217,1.341704369
1.403481562,-0.843395472,0.247103721,1.169632435
1.413481562,-0.988624275,0.384059697,1.041333199
1.423483125,-1.150171995,0.471186548,1.007805467
1.433483125,-1.215918541,0.483403832,1.01932466
1.443481562,-1.155530095,0.453663439,1.025206447
1.453481562,-0.992778182,0.427134424,0.997036815
1.463481562,-0.780825377,0.426279217,0.922284305
1.473481562,-0.606624067,0.441306502,0.806027949
1.483481562,-0.527578115,0.467870414,0.669857383
1.493483125,-0.552222192,0.485271335,0.54953438
1.503483125,-0.615699828,0.429979324,0.471221447
1.513481562,-0.626189232,0.301907063,0.447327882
1.523481562,-0.54079026,0.142855197,0.436279953
1.533481562,-0.401146472,0.010471975,0.408895731
1.543481562,-0.257139355,-0.094736472,0.366815835
1.553481562,-0.150517195,-0.183189765,0.302029222
1.563483125,-0.05523967,-0.181985483,0.265848547
1.573483125,-0.053023104,-0.168773338,0.231674999
1.583481562,-0.059288833,-0.164392561,0.174847081
1.593481562,-0.023928463,-0.132086515,0.144425988
1.603481562,0.043545965,-0.115174279,0.090844385
1.613481562,0.152367249,-0.124913216,0.018657569
1.623481562,0.279933363,-0.145159036,-0.05618215
1.633483125,0.399401158,-0.156503677,-0.144967049
1.643483125,0.462913662,-0.232704744,-0.173677713
1.653481562,0.484643012,-0.310930401,-0.24450317
1.663481562,0.522865713,-0.323898196,-0.311925232
1.673481562,0.576133192,-0.326917619,-0.371388614
1.683481562,0.667605877,-0.324282169,-0.423294693
1.693481562,0.759183288,-0.368369192,-0.457747489
1.703483125,0.899211109,-0.33723253,-0.497261763
1.713483125,1.050024986,-0.272393525,-0.501921773
1.723483125,1.158008456,-0.225182384,-0.508484244
1.733481562,1.200646877,-0.179000974,-0.524872839
1.743481562,1.215883613,-0.093322754,-0.548818767
1.753481562,1.190087676,-0.039165188,-0.563531935
1.763481562,1.152667761,-0.031677727,-0.564631462
1.773481562,1.14631474,-0.037175514,-0.55114007
1.783483125,1.17294848,-0.067666411,-0.524803042
1.793508125,1.221678138,-0.142645761,-0.489076167
1.803481562,1.274788499,-0.228271618,-0.452319533
1.813481562,1.30332458,-0.30787608,-0.411548644
1.823481562,1.293254018,-0.392105669,-0.376467526
1.833481562,1.249254346,-0.480820745,-0.353359371
1.843481562,1.186387539,-0.560756862,-0.358455718
1.853483125,1.125266075,-0.634462059,-0.385246515
1.863483125,1.090499163,-0.679526508,-0.423591405
1.873481562,1.08599627,-0.72022754,-0.460103691
1.883481562,1.095717669,-0.756879508,-0.489634663
1.893481562,1.085123539,-0.798575401,-0.530248463
1.903481562,1.023810148,-0.851476312,-0.590933561
1.913481562,0.916070938,-0.890658975,-0.657413185
1.923483125,0.77836448,-0.903836191,-0.727418303
1.933483125,0.638738155,-0.880152106,-0.789813817
1.943481562,0.520596802,-0.816255569,-0.828961551
1.953481562,0.442667842,-0.763127744,-0.840236425
1.963481562,0.416906804,-0.749322176,-0.81807071
1.973481562,0.440189481,-0.745325387,-0.780650854
1.983481562,0.463664174,-0.709982455,-0.789202988
1.993483125,0.440468729,-0.7269122,-0.865177155
2.003481562,0.385735214,-0.801141024,-0.989025712
2.013481562,0.314229071,-0.854146659,-1.134464025
2.023481562,0.233856663,-0.871861756,-1.273165345
2.033481562,0.155631006,-0.871931612,-1.376680851
2.043481562,0.082414448,-0.878790736,-1.434084654
2.053481562,0.032410763,-0.896994531,-1.438901782
2.063483125,0.016720254,-0.876347244,-1.406159401
2.073483125,0.011292281,-0.819728792,-1.364323854
2.083481562,0.006387905,-0.762063086,-1.328090787
2.093481562,-0.009599311,-0.702303052,-1.3234483
2.103481562,-0.044942226,-0.634566784,-1.36657536
2.113481562,-0.091176003,-0.576499701,-1.447436452
2.123481562,-0.128072262,-0.532918811,-1.537966728
2.133483125,-0.137584299,-0.492078125,-1.603521228
2.143483125,-0.120497532,-0.460871637,-1.619456053
2.153481562,-0.074193947,-0.428617954,-1.584758997
2.163481562,-0.00403171,-0.355453759,-1.516429305
2.173481562,0.060039327,-0.261467785,-1.436859727
2.183481562,0.094561942,-0.185371414,-1.368530154
2.193481562,0.102415919,-0.140219748,-1.318282127
2.203483125,0.1062731,-0.103288583,-1.2829566
2.213483125,0.111543991,-0.076148719,-1.264997125
2.223483125,0.105382979,-0.094980821,-1.249900103
2.233481562,0.087685339,-0.193277761,-1.216843605
2.243481562,0.083042763,-0.335906059,-1.163541198
2.253481562,0.10290461,-0.450085521,-1.094426155
2.263481562,0.145316109,-0.485131711,-1.022605896
2.273481562,0.196541533,-0.45148176,-0.976284802
2.283483125,0.235026032,-0.387497991,-0.966022313
2.293483125,0.243752688,-0.314211637,-0.991486609
2.303481562,0.213017434,-0.23994787,-1.037510991
2.313481562,0.145193934,-0.210381985,-1.0798527
2.323481562,0.052516956,-0.263789058,-1.097707391
2.333481562,-0.04712389,-0.406574458,-1.083674908
2.343481562,-0.123935826,-0.59983474,-1.042938948
2.353483125,-0.151616752,-0.739269137,-1.004245043
2.363483125,-0.142157063,-0.776619136,-0.990963042
2.373481562,-0.127513751,-0.761993289,-1.00715971
2.383481562,-0.131161496,-0.733387351,-1.041734695
2.393481562,-0.169890344,-0.692249954,-1.076553941
2.403481562,-0.235113308,-0.673313141,-1.107690692
2.413481562,-0.324858129,-0.693628728,-1.131008267
2.423481562,-0.406679153,-0.748065591,-1.140014172
2.433483125,-0.462337703,-0.800757051,-1.141759515
2.443481562,-0.493422031,-0.835733473,-1.14743185
2.453481562,-0.513650417,-0.86573565,-1.178376436
2.463481562,-0.552588701,-0.870430589,-1.254734635
2.473481562,-0.635928154,-0.839363754,-1.364009738
2.483481562,-0.770213783,-0.785520315,-1.477246642
2.493483125,-0.948813319,-0.742410719,-1.564617872
2.503481562,-1.142178416,-0.716876507,-1.604236841
2.51348,-1.317339659,-0.72031486,-1.592647791
2.523481562,-1.43736589,-0.752376556,-1.527599454
2.533481562,-1.478520751,-0.80611521,-1.418202162
2.543481562,-1.436615467,-0.852401376,-1.289187431
2.553481562,-1.340709567,-0.871512711,-1.187748909
2.563483125,-1.232202411,-0.887325406,-1.121461272
2.573483125,-1.124166608,-0.86573565,-1.08088243
2.583481562,-1.025503159,-0.753982246,-1.059292674
2.593481562,-0.959739089,-0.595855415,-1.043165803
2.603481562,-0.930225611,-0.4437325,-1.00646162
2.613481562,-0.913226068,-0.320529729,-0.922773004
2.623481562,-0.8883726,-0.245742351,-0.780074894
2.633483125,-0.856118917,-0.220731795,-0.594581306
2.643483125,-0.810845077,-0.236492112,-0.386101723
2.653483125,-0.728692412,-0.23755677,-0.175388142
2.663481562,-0.611493528,-0.169907808,0.000890118
2.673481562,-0.478429645,-0.078260563,0.144408539
2.683481562,-0.36386624,-0.006352998,0.215164185
2.693481562,-0.296967775,0.063495077,0.19716984
